Bahan,Kalori,Lemak(g),Karbohidrat(g),Protein(g),Ukuran,Keterangan
Daging Unggas,201,11.47,0,23.01,1 porsi,Ayam
Daging Sapi,245,16.61,0,22.38,1 porsi,-
Daging Unggas,132,5.95,0,18.28,100gr,Bebek
Kikil,200,9.05,8.31,21.77,1 porsi,-
Jeroan,145,2.66,0,30.14,100 gr,Ampela Ayam
Jeroan,116,4.83,0,16.92,100 gr,Hati Ayam
Jeroan,165,4.73,0.15,28.48,100 gr,Hati Sapi
Usus,94,2.06,0,17.66,100 gr,Usus Ayam
Usus,130,7.2,1.5,14,100 gr,Usus Sapi
Ikan,87,2.08,0,16.01,100 gr,Ikan Mas
Cumi-cumi,92,1.38,3.08,15.58,100 gr,-
Gurita,82,1.04,2.2,14.91,100 gr,-
Udang,144,2.35,1.24,27.59,100 gr,-
Kepiting,101,1.76,0,20.03,100 gr,-
Lobster,97,0.58,1.27,20.33,100 gr,-
Kerang,217,10.96,10.49,18.14,100 gr,-
Ikan,240,14.53,8.54,17.57,100 gr,Ikan Lele
Ikan,125,5.49,0,17.48,100 gr,Ikan Gurame
Ikan,96,1.7,0,20.08,100 gr,Ikan Nila
