Kategori,Bahan,Keterangan,Nama Resep,Bahan yang dibutuhkan,Cara Membuat,Kalori
Daging,Cumi-cumi,,Cumi Hitam,1 sachet sweetener classic ; 3 sdm saos tiram ; 30 ml minyak goreng ; 457 gram cumi-cumi ; 47 gram bawang merah ; 51 gram cabai merah besar ; 1/2 sdt garam ; 21 gram cabai merah atau rawit ; 37 gram bawang putih,"1.Potong potong cumi sesuai selera, iris bawang merah, bawang putih dan cabai. ; 2.Panaskan minyak lalu tumis bawang hingga layu, masukkan cabai beri garam, gula dan saus tiram. ; 3.Masukkan cumi aduk aduk hingga rata dan beri air. ; 4.Masak selama 5 menit lalu hidangkan.","per porsi - Kalori: 278kkal | Lemak: 12,43g | Karb: 16,89g | Prot: 25,76g"
,Cumi-cumi,,Cumi Lada Hitam,1 sendok saus lada hitam ; 1 sendok makan minyak goreng ; 300 gram cumi-cumi ; 2 tomat ceri ; 100 gram bawang bombay ; 50 gram cabai merah besar ; 50 ml air,"1.Belah bawang bombay menjadi dua dan Iris memanjang setengahnya dan tumis dengan minyak sampai harum. ; 2.Masukan cumi, cabai, saos lada hitam dan air. ; 3.Kemudian masukan tomat tumis semuanya hingga masak.","per porsi - Kalori: 107kkal | Lemak: 3,36g | Karb: 6,46g | Prot: 12,17g"
,Daging Sapi,,Teriyaki Beef,3 g lada putih bubuk ; 1 sdm kecap manis ; 15 g soy sauce ; 15 g saus bumbu rasa tiram ; 1 sdm minyak wijen ; 50 gram bawang bombay ; 1/2 sdt bawang putih bubuk ; 1/2 sdt garam ; 1 sdt jahe ; 1/2 sdt gula pasir ; 250 gram daging sapi top sirloin (diiris hingga 0.3 cm lemak),"1.Marinasi Daging dengan kecap asin, kecap manis, minyak wijen, saos tiram, garam, gula, bawang putih, lada putih, jahe. Kurang lebih 15 - 30 menit. ; 2.Masak Daging tanpa minyak. Sampai matang. Setelah itu beri air sedikit, kemudian jika masukkan bawang Bombay. Masak hingga layu. ; 3.Hidangkan.","per porsi - Kalori: 366kkal | Lemak: 20,95g | Karb: 15,15g | Prot: 26,71g"
,Daging Sapi,,Sup Daging Selada Air,2 g royco ayam ; 3 g lada putih bubuk ; 1 sdt garam ; 200 gram daging sapi ; 20 gram cabai merah atau rawit ; 40 gram bawang bombay ; 15 gram bawang putih ; 300 gram selada air ; 150 gram jamur tiram,"1.Rebus daging buang airnya, direbus kembali dengan bawang putih, bawang bombay dan cabe, bumbui dengan garam, merica, dan royco ayam. ; 2.Masukan jamur, tunggu beberapa saat. ; 3.Masukan selada air tunggu sampe selada air matang sebelum disajikan.","per porsi - Kalori: 193kkal | Lemak: 10,90g | Karb: 8,91g | Prot: 17,07g"
,Daging Sapi,,Beef Patty,6 g lada putih bubuk ; 74 g roti tawar ; 2 sedang telur ; 1 sdt bawang putih bubuk ; 500 gram daging sapi ; 100 gram bawang bombay ; 1 sdt garam,"1.Haluskan daging bersama roti tawar. ; 2.Dalam mangkuk besar, campurkan daging giling dengan bumbu-bumbu dan bawang bombay yang sudah dicincang halus. ; 3.Masukkan telur dan aduk rata. ; 4.Bagi adonan menjadi 8 bagian, bentuk bulat pipih. ; 5.Grill di pan anti lengket.","per porsi - Kalori: 230kkal | Lemak: 13,69g | Karb: 6,67g | Prot: 18,88g"
,Daging Unggas,Ayam,Dimsum Ayam,1 g lada putih bubuk ; 5 gram garam laut ; 6 ml kecap asin ; 100 gram udang ; 68 gram telur ; 19 gram kaldu jamur ; 144 g tepung tapioka ; 200 gram paha ayam ; 4 gram minyak wijen ; 78 gram wortel ; 14 gram bawang putih ; 92 gram kulit pangsit ; 15 gram gula pasir,"1.Cuci bersih udang, potong kecil-kecil, sisihkan. ; 2.Masukkan semua bahan ke food proccesor kecuali udang dan kulit pangsit. ; 3.Blender sampai halus. ; 4.Setelah adonan halus tambahkan udang potong kemudian diaduk. ; 5.Masukan ke dalam kulit lumpia, kukus 20 menit.","per porsi - Kalori: 50kkal | Lemak: 1,89g | Karb: 4,26g | Prot: 3,70g"
,Daging Unggas,Ayam,Ayam Crispy Oatmeal,"1 sdm olive oil ; 2 sdm oat ; 1 besar telur ; 1 sdm bubuk cabai ; 1 sdt, tumbuk oregano ; 100 gram dada ayam ; 1 sdt garam","1.Slice dada ayam ketebalan sesuai selera lalu bumbui dada ayam dgn garam dan bubuk cabai (optional). ; 2.Kocok telur. ; 3.Tuang quaker oat ke dalam mangkuk lalu bumbui lg dgn bubuk cabai, garlic powder, dan oregano. ; 4.Tuang sedikit olive oil ke teflon klo bisa (anti lengket) yg sudah dipanaskan. ; 5.Lumuri dada ayam dengan telur lalu balurkan ke oat yg sudah dibumbui. Panggang di dalam teflon dgn api sedang. ; 6.Angkat ayam jika sudah kecoklatan.","per porsi - Kalori: 285kkal | Lemak: 16,07g | Karb: 14,82g | Prot: 20,48g"
,Daging Unggas,Ayam,Ayam Teriyaki,1 sdm minyak goreng ; 18 g royco ayam ; 40 ml saus teriyaki ; 5 sdm cabai merah atau rawit ; 1/4 siung bawang putih ; 300 gram dada ayam,"1.Panaskan minyak tumis bawang putih. ; 2.Masukan ayam dan air. ; 3.Tambahkan royco, saus teriyaki, dan cabai dan tunggu hingga matang.","per porsi - Kalori: 167kkal | Lemak: 7,55g | Karb: 5,96g | Prot: 18,38g"
,Daging Unggas,Bebek,Bebek Goreng Sambal Mangga,"1 kg Bebek ; 1 bks Bumbu Ayam Goreng ; 1,5 ltr Air ; 2 lbr Daun Jeruk ; 600 ml Minyak Goreng ; 4 bh Cabai Rawit ; 4 siung Bawang Merah ; 2 siung Bawang Putih ; 1/2 bh Tomat ; 1/2 sdt Terasi ; 1/4 sdt penyedap ; 1/2 sdt Garam ; 1 sdm Gula Merah ; 1 sdm Air Perasan Jeruk Limo ; 100 gr Irisan Mangga Muda","1.Panaskan air, masukkan potongan bebek, daun jeruk dan 1 bks Bumbu Ayam Goreng, masak hingga air tinggal sedikit dan bebek empuk, angkat, tiriskan. ; 2.Panaskan minyak, goreng bebek hingga kuning kecoklatan, angkat sisihkan. ; 3.Haluskan cabai rawit, bawang merah, bawang putih, tomat, terasi, hingga setengah halus, sisihkan. ; 4.Panaskan 2 sendok makan minyak, masukkan sambal yang sudah dihaluskan, penyedap, garam, dan gula merah, tumis hingga matang. Matikan api, masukkan irisan mangga dan perasan jeruk limo, aduk rata. Sajikan bebek goreng bersama sambal manga.",per 4 porsi - Kalori: 3716kkal | Lemak: 327g | Karb: 34g | Prot: 163g
,Daging Unggas,Bebek,Bebek Sambal Bali,4 ptg Bebek muda ; 3 bh Jeruk nipis ; 1 bks Penyedap Rasa Ayam 11 gr ; 750 ml Air ; 1 L Minyak goreng(6 sdm untuk menumis) ; 50 gr Cabai keriting ; 5 siung Bawang merah ; 2 sdm Gula merah ; 1 sdt Terasi ; 1/2 sdt Garam,"1.Buat Sambal: Haluskan cabai keriting, bawang merah, gula merah, dan terasi. ; 2.Tumis sambal hingga harum, tambahkan garam, aduk rata, masak hingga matang. Angkat dan sisihkan. ; 3.Potong-potong jeruk nipis. Lumuri bebek dengan perasan jeruk nipis, ratakan, diamkan ± 30 menit. ; 4.Masukkan bebek, air, dan Penyedap Rasa Ayam ke dalam panci, aduk rata. Nyalakan kompor, masak hingga air habis, angkat. ; 5.Goreng bebek hingga matang, angkat, dan tiriskan.Sajikan Bebek Goreng dengan Sambal Bali.",per 4 porsi - Kalori: 384kkal
