Kategori,Bahan,Keterangan,Nama Resep,Bahan yang dibutuhkan,Cara Membuat,Kalori
Daily Product,Keju,,Kue Chiffon Keju,70 ml minyak goreng ; 80 gram keju cheddar ; 6 besar putih telur ; 6 besar kuning telur ; 125 gram gula pasir ; 70 ml air ; 100 gram tepung terigu putih (semua keperluan),"1. Kocok putih telur dengan 100 gr gula hingga kaku. ; 2. Di wadah lain, kocok kuning telur dengan 25 gr gula hingga berbusa. Kemudian tambahkan air dan minyak, aduk rata. Terakhir, tambahkan tepung dan aduk. ; 3. Campurkan 2 campuran dan tempatkan dalam loyang kue. Hiasi keju cheddar di atasnya. ; 4. Panggang dalam oven dengan suhu 160°C selama 50-55 menit. ; 5. Tunggu dingin baru keluarkan dari loyang.","per porsi - Kalori: 181kkal | Lemak: 9,88g | Karb: 17,29g | Prot: 5,67g"
,Keju,,Bolu Cup,50 g keju serbaguna ; 220 gram telur ; 120 gram gula pasir ; 150 gram tepung terigu putih (semua keperluan),1. Kocok telur dan gula hingga mengembang. ; 2. Tambahkan tepung sedikit demi sedikit. ; 3. Masukkan ke cup. ; 4. Taburin keju. ; 5. Panggang dg suhu 200 C selama 30 menit.,"per porsi - Kalori: 59kkal | Lemak: 1,30g | Karb: 9,88g | Prot: 1,87g"
,Keju,,Prol Tape Keju,2 sendok makan kental manis ; 50 g cheddar cheese ; 70 g unsalted butter ; 100 g tepung terigu cakra kembar ; 5 besar kuning telur ; 400 gram tape singkong ; 1/2 sdt garam ; 1/2 sdt ekstrak vanila ; 100 gram gula pasir,"1. Haluskan tape, masukkan vanili, SKM. ; 2. Kocok 4 kuning telur dengan gula sampai larut dengan wisk, kemudian campurkan dengan adonan tape, aduk sampai rata, masukkan sedikit-sedikit tepung terigu dan butter yg sudah dilelehkan. Masukkan ke loyang yg sudah dialasi kertas roti dan dioles margarin. ; 3. Masukkan ke oven panggang api atas bawah 20 menit suhu 180, keluarkan oles dengan 1 butir kuning telur dan tabur keju parut. Oven lagi 30 menit.","per porsi - Kalori: 157kkal | Lemak: 6,13g | Karb: 22,65g | Prot: 2,85g"
,Olahan Susu,,Milk Tea Chiffon,15 g tepung pati jagung ; 80 ml susu UHT full cream ; 5 besar telur ; 60 gram minyak sayur canola ; 95 gram gula pasir ; 120 gram tepung terigu putih (semua keperluan),1. Mixer putih telur. ; 2. Campur kuning telur dan bahan lainnya. ; 3. Oven selama 1 jam dengan panas 160°c.,"per porsi - Kalori: 138kkal | Lemak: 6,77g | Karb: 15,75g | Prot: 3,53g"
,Olahan Susu,,Sup Labu Energi,1 gelas susu tanpa lemak ; 500 gram labu kuning ; 10 gram tepung,"1. Potong labu hingga berbentuk bulan sabit seperti semangka potong, kulit dan biji jangan dulu dikupas. Kukus hingga setengah matang +/- 10 menit. Tujuan agar labu cukup empuk untuk diblender. ; 2. Keluarkan labu dari kukusan biarkan sebentar agar dingin. Lalu kupas kulit dan buang bijinya. Potong dadu dan blender (bisa ditambah air secukupnya). ; 3. Labu yang sudah diblender, lalu tuang ke panci. Lalu masak dengan api kecil-sedang. Perlahan tambahkan susu (kekentalan tergantung selera). Terus tambahkan 1 sdm tepung maizena untuk mengentalkan sup. Penyajian bisa dimakan selagi hangat atau dingin (simpan di kulkas dulu).","per porsi - Kalori: 249kkal | Lemak: 0,80g | Karb: 52,28g | Prot: 14,29g"
,Olahan Susu,,Pancake Pisang,80 ml susu skim ; 140 gram pisang ; 1/2 sdt gula pasir ; 50 gram tepung terigu putih (semua keperluan),"1. Haluskan pisang, lalu campur dengan terigu. Aduk rata. ; 2. Tambahkan gula dan susu secara bertahap sambil diaduk hingga rata. ; 3. Panaskan wajan antilengket, tuang satu sendok sayur adonan. ; 4. Apabila sudah muncul gelembung, balik adonan pancake. Tunggu hingga kedua sisi matang. ; 5. Sajikan hangat, boleh ditambah madu atau topping sesuai selera.","per porsi - Kalori: 51kkal | Lemak: 0,33g | Karb: 10,89g | Prot: 1,35g"
,Telur ayam,,Sup Telur,2 besar telur ; 1 sdm cabai merah atau rawit ; 2 siung bawang putih ; 20 gram daun bawang ; 30 gram bayam ; 100 gram sawi putih ; 1 gelas air,"1.Masukkan sayuran, bawang putih, cabai dan daun bawang yang sudah dipotong ke dalam panci yang sudah diisi air. ; 2.Tunggu hingga sayuran lunak, masukkan garam, lada, penyedap rasa. ; 3.Lalu masukkan telur, aduk aduk hingga blebek blebek. ; 4.Selesai, hidangan siap disajikan.","per porsi - Kalori: 204kkal | Lemak: 11,24g | Karb: 11,90g | Prot: 15,86g"
,Telur ayam,,Omelette Tahu Telur,1 sendok makan minyak goreng sawit ; 1 besar telur ; 1 sdt garam ; 100 gram tahu,"1.Hancurkan tahu dalam mangkuk. ; 2.Kocok telur, campur dengan tahu dan bumbui dengan garam. ; 3.Masukkan minyak ke dalam wajan. ; 4.Goreng hingga matang.","per porsi - Kalori: 232kkal | Lemak: 18,92g | Karb: 2,48g | Prot: 14,26g"
,Telur ayam,,Tumis Telur Tahu,2 g royco ayam ; 1 sdt bawang putih cincang ; 1 besar telur ; 50 gram kecambah ; 10 gram kaldu jamur ; 1 sdm sambal goreng ; 10 gram daun bawang ; 50 gram bayam ; 50 gram tempe ; 70 gram tahu,"1.Tumis baput, bawang putih cincang dan saus sambal lalu masukkan potongan tempe dan tumis hingga harum. ; 2.Kocok telur dan tahu. ; 3.Tambahkan ke tumisan, lalu aduk hingga telur dan tahu sedikit menggumpal. Tambahkan sedikit air. ; 4.Tambahkan tauge, daun bawang dan bayam lalu tambahkan lebih banyak air jika perlu. ; 5.Tambahkan bumbu kaldu jamur dan sedikit royco. Tumis hingga semuanya matang. ; 6.Angkat dan sajikan.","per porsi - Kalori: 278kkal | Lemak: 14,74g | Karb: 15,09g | Prot: 26,23g"
,Telur bebek,,Bolu Jadul Telur Bebek,"5 butir Telur bebek ; 150 gram terigu ; 50 gram maizena ; 200 gram gula pasir, kalau tdk suka manis boleh dikurangi 10-20g ; 1 sdm baking powder 1 ; 1 sdt vanili bubuk ; 50 gram margarin ; 3 sdm minyak goreng","1.Lelehkan margarin dengan cara di tim, sisihkan ; 2.Olesi loyang dengan margarin dan taburi dengan tepung ; 3.Panaskan oven (saya pakai hock jadup panggang di kompor gas) ; 4.Mix dengan kecepatan tinggi Telur,gula pasir dan vanila hingga kental berjejak ; 5.Kurangi kecepatan mixer (no 1 atau 2) tambahkan terigu,maizena lalu baking powder, mix hingga tercampur rata ; 6.Matikan mixer ; 7.Ke Dalam adonan, tambahkan margarin yg sudah dilelehkan kemudian aduk menggunakan spatula ; 8.Lanjut tambahkan minyak dan diaduk kembali dengan spatula hingga tercampur rata ; 9.Panggang dengan api sedang saja agar tidak mudah gosong kira2 30 menit atau sampai matang.Tes tusuk dengan lidi atau garpu. ; 10.Sajikan",data not found
,Telur bebek,,Martabak Tahu Telur Bebek,"2 butir Telur bebek ; 2 buah tahu putih ; 6 lbr Kulit Lumpia ; 2 batang daun bawang ; 2 siung bawang merah ; 1/2 buah bawang bombay ; 3 buah cabai [optional](me : skip) ; Secukupnya garam, lada bubuk dan penyedap kaldu jamur bubuk ; Minyak untuk menggoreng","1.Siapkan bahan2 yg digunakan ; 2.Haluskan tahu putih, dan tambahkan irisan daun bawang. Irisan bawang merah dan bawang bombay ; 3.Tambahkan telur bebek mentah, dan masukkan garam, penyedap kaldu jamur bubuk ; 4.Setelah itu siapkan kulit lunpia lalu masukkan bahan sedikit demi sedikit lalu tambahkan cabai dan gulung, ulang hingga adonan habis ; 5.Panaskan minyak lalu masukkan adonan kedalam minyak lalu tunggu hingga matang dan angkat saat warna sudah golden brown ; 6.Setelah matang semua lalu sajikan",data not found
,Telur bebek,,Mie Nyemek Telur Bebek,2 mie telor atau 3 mie instan ; 2 telur bebek ; 150 gr daging ayam kampung suwir ; 1 buah tomat ; 1 batang daun bawang ; 4 siung bawang putih ; 1 sdt garam ; 2 sdt gula ; 2 sdm kecap ; 1 sdt seasoning ; 1 sdm kecap asin ; 100 ml air kaldu rebusan ayam,"1.Siapkan bahan, serut bawang putih. Didihkan air, masak mie 3/4 matang sekitar 2,5 menit. Tiriskan. Rebus ayam dengan bawang dan garam, suwir. Sisihkan. ; 2.Tumis bawang putih hingga wangi, tambahkan minyak goreng lalu masukkan telur bebek. Orak arik agak matang, masukkan ayam suwir. Tambahkan air kaldu dan masukkan tomat. ; 3.Aduk rata, terakhir masukkan mie. Tambahkan garam, lada, gula, kecap manis, kecap asin dan seasoning. Koreksi rasa. Taburkan daun bawang dan bawang goreng. Hidangkan.",data not found
