Bahan,Kalori,Lemak(g),Karbohidrat(g),Protein(g),Ukuran,Keterangan
Asam Jawa,5,0.01,1.25,0.06,1 buah,-
Bawang Bombai,40,0.08,9.63,0.88,100 gr,-
Bawang Daun,61,0.3,14.15,1.5,100 gr,-
Bawang Merah,11,0.02,2.63,0.24,1 ons,-
Bawang Putih,42,0.14,9.37,1.8,1 ons,-
Cabai,90,4.9,16.05,3.4,1 ons,-
Daun Salam,313,8,75,8,100g,-
Jahe,80,0.75,17.77,1.82,100 gr,-
Kemiri,196,20.4,3.93,2.6,1 ons,-
Kencur,0,0,0,0,100 gr,-
Ketumbar,23,0.52,3.67,2.13,100 gr,-
Kunyit,354,9.88,64.93,7.83,100 gr,-
Lengkuas,24,0.54,4.39,1.45,100 gr,-
Merica,365,6.8,64.4,11.5,100 gr,-
Paprika,6,0.05,1.32,0.24,1 ons,Paprika Hijau
Paprika,6,0.07,1.39,0.23,1 ons,Paprika Merah
Paprika,8,0.06,1.79,0.28,1 ons,Paprika Kuning
Seledri,14,0.17,2.97,0.69,100 gr,-
Serai,99,0.49,25.31,1.82,100 gr,-
