Kategori,Bahan,Nama Resep,Bahan yang dibutuhkan,Cara Membuat,Kalori,Jumlah Porsi
Buah,Bayam Hijau,Bayam Mentega,2 ikat daun bayam; 100 gr udang segar (kupas); 2 sdm mentega; 3 siung bawang putih (dicincang); ¼ sdt merica bubuk; 1 sdt air jeruk lemon; 2 sdm air matang; ½ bungkus Masako Rasa Ayam (11 gr),"1. Panaskan mentega, tumis bawang putih hingga harum; 2. Masukkan udang, masak hingga berubah warna; 3.Tambahkan air, air jeruk lemon, dan merica, didihkan; 4. Masukkan bayam dan Masako,masak hingga layu; Angkat dan sajikan.",Kalori: 286 Kkal | Protein: 23 gr | Karbohidra: 11 gr | Lemak: 13 gr,4 porsi
,Bayam Hijau,Sup Bayam Wortel,350 gr Bayam; 100 gr Wortel; 100 gr Jagung potong; 1 sdm Masako Rasa Gurih Pas; 1200 ml Air; 3 btr Bawang merah iris; 2 btr Bawang putih iris; 1 sdm Minyak sayur,"1. Panaskan minyak tumis bawang merah dan putih hingga harum lalu masukan wortel dan jagung; 2. Tambahkan air, Masako, dan bayam; 3. Masak hingga matang dan sajikan selagi hangat.",Kalori: 96 Kkal | Protein: 2 gr | Karbohidrat: 13 gr | Lemak: 4 gr,4 porsi
,Bayam Hijau,Omlate Bayam,1 takaran royco ayam; 1 takaran lada putih bubuk; 9 ml minyak goreng filma; 55 gram telur;30 gram wortel; 28 gram bayam,"1. Rebus bayam, parut wortel; 2. Kocok 1 butir telur, campurkan dengan parutan wortel, bayar rebus; 3. Tambahkan bumbu penyedap, lalu bisa tambahkan cabai/saus sambal bila suka pedas; 4. Panaskan minyak goreng secukupnya lalu masak kurang lebih selama 6mnt.",Kalori: 179 Kkal | Protein: 8 gr | Karbohidrat: 6.31 gram | Lemak: 13.65 gr,1 porsi
,Brokoli,Tumis Brokoli,1 sejumput garam laut; 2.5 g kaldu jamur; 3 siung bawang putih; 250 gram brokoli; 160 gram wortel; 2 kecil bawang merah; 1/2 sdt gula pasir,"1. Rebus wortel dan brokoli, tujuannya supaya empuk dan matang merata ketika ditumis; 2. Tumis bawang merah dan bawang putih yang sudah dicincang pada teflon anti lengket tanpa menggunakan minyak masak; 3. Setelah bumbu matang, masukkan wortel dan brokoli yang sudah direbus, aduk merata sambil ditambahkan gula, garam dan kaldu jamur; 4. Tumis brokoli siap disajikan","Kalori: 237 Kkal | Protein: 10,47 gr | Karbohidrat: 51,66 gr | Lemak: 1,56 gr",3 porsi
,Brokoli,Tumis Tofu Brokoli Saus Tiram,200 gr Brokoli (siangi kuncupnya); 50 gr Bawang bombay (iris memanjang); 3 bh Bawang putih (cincang halus); 2 sdm Margarin; 2 bh Tofu (iris rajang); 8 bh Udang; 50 gr Jamur kuping (iris tipis); 100 gr Kol (potong rajang); 1 bh Wortel (iris serong tipis); 1 bh Cabe merah besar; 1 sachet SAORI Saus Tiram; 3 sdm Maizena; 100 ml Air; 200 ml Minyak goreng; Bawang putih goreng (pelengkap),"1. Balur tahu dengan tepung maizena kemudian goreng sampai matang, angkat tiriskan; 2. Lelehkan margarin, tumis bawang bombay dan bawang putih sampai harum masukkan jamur, wortel, brokoli, udang, cabe merah, aduk, masukkan tahu dan tumis Kembali (Tips: Saat memasukkan sayuran, api boleh dikecilkan agar sayur tidak overcook; 3. Tambahkan air, dan SAORI Saus Tiram; 4. Biarkan kuah menyusut dan mengental; 5. Beri topping bawang goreng, sajikan.",Kalori: 163 Kkal | Protein: 9 gr | Karbohidrat: 7 gr | Lemak: 11 gr,2 porsi
,Brokoli,Capcay Brokoli,200 gr Brokoli; 175 gr Dada Ayam; 75 gr Jamur Kuping; 1 bks Sajiku Bumbu Capcay; 300 ml Air; 2 sdm Minyak Goreng,"1. Iris iris jamur kuping dan brokoli, potong dada ayam ukuran dadu sedang sisihkan; 2. Panaskan minyak, masukkan ayam dan jamur kuping, tumis hingga ayam berubah warna; 3. Masukkan brokoli, aduk rata; 4. Tambahkan air dan Sajiku Bumbu Capcay, masak hingga matang.",Kalori: 499 Kkal | Protein: 43 gr | Karbohidrat: 17 gr | Lemak: 30 gr,4 porsi
,Buncis,Tumis Buncis Tempe,225 gram buncis; 223 gram tempe; 5 gram kaldu jamur; 10 g saus tiram; 18 gram bawang putih; 200 ml air; 39 gram bawang Bombay,"1. Potong-potong buncis dan tempe. Cincang bawang putih dan bawang Bombay; 2. Didihkan air, tambahkan bawang bombay, bawang putih, saus tiram dan kaldu jamur; 3. Masukkan tempe dan buncis. Masak sampai buncis empuk; 4. Siap disajikan.","Kalori: 555 Kkal | Protein: 47,5 gr | Karbohidrat: 49,5 gr | Lemak: 24,45 gr",5 porsi
,Buncis,Oseng Buncis Telur Puyuh,"200gr buncis, potong serong; 20 butir telur puyuh, rebus; ¼ sdt Masako Ayam; 3 sdm minyak; ½ butir bawang bombay, iris tipis; 2 siung bawang putih, iris halus; 4 buah tomat hijau kecil, belah 4; 2 buah cabe merah besar, iris serong; 2 buah cabe hijau besar, iris serong","1. Panaskan minyak goreng, tumis bombay dan bawang putih sampai harum. Tambahkan tomat, cabai merah, cabai hijau dan buncis. Aduk merata; 2. Tambahkan Masako Ayam, aduk sampai buncis menjadi agak layu; 3. Masukkan telur puyuh, masak sampai matang. Angkat dan sajikan selagi hangat.",per 4 porsi - Kalori: 590 Kkal | Protein: 30 gr | Karbohidrat: 23 gr | Lemak: 44 gr,4 porsi
,Buncis,Tumis Buncis Udang,250 gr Buncis; 100 gr Udang; 20 gr Cabai rawit merah; 2 gr Masako Gurih Pas; 35 gr Bawang merah; 10 ml Minyak goreng; 15 gr Bawang putih,"1. Kupas kulit udang sisakan ekor dan bersihkan kotoran di dalam udang dengan menyayat bagian punggungnya; 2. Potong menyerong buncis dan cabai rawit, setelah itu kupas lalu potong bawang putih dan bawang merah kemudian sisihkan; 3. Panaskan minyak lalu tumis bawang merah dan putih hingga wangi, tambahkan udang masak hingga berwarna kemerahan, kemudian tambahkan buncis dan cabai rawit merah; 4. Terakhir bumbui dengan Masako Gurih Pas lalu aduk hingga merata, tumis buncis hingga matang lalu sajikan.",per 2 porsi - Kalori: 149 Kkal | Protein: 13 gr | Karbohidrat: 13 gr | Lemak: 5 gr,2 porsi
,Jamur,Tumis Tiga Jamur,"150 gr Jamur merang (potong 4); 150 gr Jamur tiram (suwir); 150 gr Jamur kuping (iris memanjang); 4 siung Bawang merah, (iris); 3 siung Bawang putih (iris); 1 btg Bawang daun (potong memanjang); 2 bh Cabai merah, iris serong; 2 bh Cabai hijau, iris serong; ¼ sdt Merica; 1 sdt Masako Ayam; 1 sdt Gula pasir; 25 ml Air; 2 sdm Minyak untuk menumis","1. Panaskan minyak untuk menumis, kemudian masukan bawang merah dan bawang putih, masak hingga harum; 2. Masukkan potongan cabai merah dan cabai hijau, aduk merata, masak hingga layu; 3. Masukkan jamur merang dan jamur kuping, masak hingga jamur layu; 4. Tambahkan jamur tiram, merica, Masako Ayam dan gula, aduk hingga merata. Beri air, masak hingga air mendidih; 5. Tambahkan potongan daun bawang, aduk sebentar hingga layu lalu sajikan.",Kalori: 48 Kkal | Protein: 8 gr | Karbohidrat: 4 gr | Lemak: 3 gr,5 porsi
